2022-09-07 16:14:57.161 [main] WARN  o.s.c.a.AnnotationConfigApplicationContext - Exception encountered during context initialization - cancelling refresh attempt: org.springframework.beans.factory.BeanCreationException: Error creating bean with name 'logbackDemoApplication': Initialization of bean failed; nested exception is java.lang.IllegalStateException: Encountered invalid @Scheduled method 'log': For input string: "" '/2' in cron expression "/2 * * * * ?"
2022-09-07 16:28:59.005 [scheduling-1] WARN  com.ethan.logbackdemo.LogbackDemoApplication - warn=====================
2022-09-07 16:29:00.008 [scheduling-1] WARN  com.ethan.logbackdemo.LogbackDemoApplication - warn=====================
2022-09-07 16:29:01.004 [scheduling-1] WARN  com.ethan.logbackdemo.LogbackDemoApplication - warn=====================
2022-09-07 16:29:02.004 [scheduling-1] WARN  com.ethan.logbackdemo.LogbackDemoApplication - warn=====================
2022-09-07 16:29:03.003 [scheduling-1] WARN  com.ethan.logbackdemo.LogbackDemoApplication - warn=====================
2022-09-07 16:29:04.005 [scheduling-1] WARN  com.ethan.logbackdemo.LogbackDemoApplication - warn=====================
2022-09-07 16:29:05.002 [scheduling-1] WARN  com.ethan.logbackdemo.LogbackDemoApplication - warn=====================
2022-09-07 16:29:06.002 [scheduling-1] WARN  com.ethan.logbackdemo.LogbackDemoApplication - warn=====================
2022-09-07 16:29:07.002 [scheduling-1] WARN  com.ethan.logbackdemo.LogbackDemoApplication - warn=====================
2022-09-07 16:29:08.006 [scheduling-1] WARN  com.ethan.logbackdemo.LogbackDemoApplication - warn=====================
2022-09-07 16:29:09.006 [scheduling-1] WARN  com.ethan.logbackdemo.LogbackDemoApplication - warn=====================
2022-09-07 16:29:10.004 [scheduling-1] WARN  com.ethan.logbackdemo.LogbackDemoApplication - warn=====================
2022-09-07 16:29:11.002 [scheduling-1] WARN  com.ethan.logbackdemo.LogbackDemoApplication - warn=====================
2022-09-07 16:29:12.004 [scheduling-1] WARN  com.ethan.logbackdemo.LogbackDemoApplication - warn=====================
2022-09-07 16:29:13.007 [scheduling-1] WARN  com.ethan.logbackdemo.LogbackDemoApplication - warn=====================
2022-09-07 16:29:14.007 [scheduling-1] WARN  com.ethan.logbackdemo.LogbackDemoApplication - warn=====================
2022-09-07 16:29:15.001 [scheduling-1] WARN  com.ethan.logbackdemo.LogbackDemoApplication - warn=====================
2022-09-07 16:29:16.006 [scheduling-1] WARN  com.ethan.logbackdemo.LogbackDemoApplication - warn=====================
2022-09-07 16:29:17.003 [scheduling-1] WARN  com.ethan.logbackdemo.LogbackDemoApplication - warn=====================
2022-09-07 16:29:18.000 [scheduling-1] WARN  com.ethan.logbackdemo.LogbackDemoApplication - warn=====================
2022-09-07 16:29:19.003 [scheduling-1] WARN  com.ethan.logbackdemo.LogbackDemoApplication - warn=====================
2022-09-07 16:29:20.007 [scheduling-1] WARN  com.ethan.logbackdemo.LogbackDemoApplication - warn=====================
2022-09-07 16:29:21.005 [scheduling-1] WARN  com.ethan.logbackdemo.LogbackDemoApplication - warn=====================
2022-09-07 16:29:22.004 [scheduling-1] WARN  com.ethan.logbackdemo.LogbackDemoApplication - warn=====================
2022-09-07 16:29:23.006 [scheduling-1] WARN  com.ethan.logbackdemo.LogbackDemoApplication - warn=====================
2022-09-07 16:29:24.002 [scheduling-1] WARN  com.ethan.logbackdemo.LogbackDemoApplication - warn=====================
2022-09-07 16:29:25.006 [scheduling-1] WARN  com.ethan.logbackdemo.LogbackDemoApplication - warn=====================
2022-09-07 16:29:26.007 [scheduling-1] WARN  com.ethan.logbackdemo.LogbackDemoApplication - warn=====================
2022-09-07 16:29:27.005 [scheduling-1] WARN  com.ethan.logbackdemo.LogbackDemoApplication - warn=====================
2022-09-07 16:29:28.005 [scheduling-1] WARN  com.ethan.logbackdemo.LogbackDemoApplication - warn=====================
2022-09-07 16:29:29.006 [scheduling-1] WARN  com.ethan.logbackdemo.LogbackDemoApplication - warn=====================
2022-09-07 16:29:30.006 [scheduling-1] WARN  com.ethan.logbackdemo.LogbackDemoApplication - warn=====================
2022-09-07 16:29:31.004 [scheduling-1] WARN  com.ethan.logbackdemo.LogbackDemoApplication - warn=====================
2022-09-07 16:29:32.007 [scheduling-1] WARN  com.ethan.logbackdemo.LogbackDemoApplication - warn=====================
2022-09-07 16:29:33.006 [scheduling-1] WARN  com.ethan.logbackdemo.LogbackDemoApplication - warn=====================
2022-09-07 16:29:34.002 [scheduling-1] WARN  com.ethan.logbackdemo.LogbackDemoApplication - warn=====================
2022-09-07 16:29:35.005 [scheduling-1] WARN  com.ethan.logbackdemo.LogbackDemoApplication - warn=====================
2022-09-07 16:29:36.001 [scheduling-1] WARN  com.ethan.logbackdemo.LogbackDemoApplication - warn=====================
2022-09-07 16:29:37.005 [scheduling-1] WARN  com.ethan.logbackdemo.LogbackDemoApplication - warn=====================
2022-09-07 16:29:38.002 [scheduling-1] WARN  com.ethan.logbackdemo.LogbackDemoApplication - warn=====================
2022-09-07 16:29:39.002 [scheduling-1] WARN  com.ethan.logbackdemo.LogbackDemoApplication - warn=====================
2022-09-07 16:29:40.005 [scheduling-1] WARN  com.ethan.logbackdemo.LogbackDemoApplication - warn=====================
2022-09-07 16:29:41.006 [scheduling-1] WARN  com.ethan.logbackdemo.LogbackDemoApplication - warn=====================
